"year","category","AVG(a.price)"
2011,"Apparel",32.955854
2011,"Bed & Bathroom",20.970000
2011,"Digital Cameras",99.970000
2011,"Digital Media",59.970000
2011,"Electronics",179.982000
2011,"GPS Devices",153.316667
2011,"Home Items",44.960000
2011,"Jewelry",24.990000
2011,"Kitchen",60.684286
2011,"Misc",14.990000
2011,"Outdoor",92.470000
2011,"Pet",9.970000
2011,"Sporting Goods",190.348333
2011,"Tools",609.980000
2011,"Toys",27.470000
2011,"Video Games",29.970000
2012,"Apparel",38.218942
2012,"Automobile",4464.333333
2012,"Bed & Bathroom",22.636667
2012,"Digital Cameras",111.643333
2012,"Electronics",48.316667
2012,"GPS Devices",119.990000
2012,"Home Items",25.810000
2012,"Jewelry",14.950000
2012,"Kitchen",90.806667
2012,"Outdoor",232.029080
2012,"Patio & Garden",179.970000
2012,"Personal Care",19.970000
2012,"Sporting Goods",272.627000
2012,"Tools",25.645000
2012,"Toys",35.586923
2012,"Travel",19.970000
2012,"Video Games",39.970000
2013,"Apparel",37.611196
2013,"Books",19.970000
2013,"Electronics",105.386000
2013,"Food",11.990000
2013,"Home Items",100.113846
2013,"Pet",10.000000
2013,"Promotional Items",100.000000
2013,"Sporting Goods",317.982193
2013,"Tools",29.990000
2013,"Toys",44.423333
2014,"Apparel",38.611636
2014,"Automobile",59.970000
2014,"Electronics",321.654444
2014,"Home Items",119.494800
2014,"Personal Care",309.970000
2014,"Pet",10.000000
2014,"Promotional Items",20.990000
2014,"Sporting Goods",348.066802
2014,"Tools",51.978333
2014,"Toys",93.978000
2014,"Travel",19.970000
2015,"Apparel",34.243284
2015,"Cameras",186.643333
2015,"Electronics",394.990000
2015,"Holiday Items",39.970000
2015,"Home Items",89.803333
2015,"Misc",9.970000
2015,"Pet",10.000000
2015,"Sporting Goods",1608.788382
2015,"Tools",43.976000
2015,"Toys",24.990000
2016,"Apparel",26.951613
2016,"Automobile",3139.000000
2016,"Electronics",257.480000
2016,"Holiday Items",46.636667
2016,"Home Items",123.713684
2016,"Sporting Goods",2476.365370
2016,"Tools",33.310000
2016,"Toys",147.835714
2017,"Apparel",33.833403
2017,"Automobile",39.970000
2017,"Cameras",349.970000
2017,"Electronics",123.558571
2017,"Home Items",133.057222
2017,"Pet",10.000000
2017,"Sporting Goods",349.682170
2017,"Tools",64.970000
2017,"Toys",50.912500
