store,count,mean,std
AAFES,324,99.34,195.13
AAFES-SATURDAY-SALE,98,146.47,279.48
AAFES-THANKSGIVING,53,301.88,429.56
ABT-ELECTRONICS,100,681.24,699.8
AC-MOORE,181,12.68,15.26
ACADEMY-SPORTS,436,105.88,463.06
ACE-HARDWARE,88,51.22,77.71
ACME-TOOLS,20,197.12,235.36
AMAZON,7,86.84,41.36
ASHLEY-FURNITURE,18,412.89,237.52
AT-HOME,36,23.24,21.03
BARNES-NOBLE,2,74.99,35.36
BASS-PRO-SHOPS,157,918.59,5157.44
BEALLS,256,24.15,19.36
BED-BATH-AND-BEYOND,5,217.99,112.34
BELK,531,34.9,53.03
BEST-BUY,300,195.47,295.61
BIG-5-SPORTING-GOODS,414,56.23,79.51
BIG-LOTS,117,122.78,163.6
BJS-WHOLESALE,209,207.88,342.29
BONTON,1124,55.91,295.06
BOSCOVS,1064,28.15,59.4
BOSE,6,341.62,386.54
BURLINGTON-COAT-FACTORY,12,24.24,15.21
CABELAS,138,228.49,327.72
CAMPMOR,106,63.66,66.18
CHRISTMAS-TREE-SHOPS,46,38.86,61.56
COSTCO,54,587.3,914.59
COSTCO-WEEKLY-CIRCULAR,12,923.99,487.45
CRAFT-WAREHOUSE,71,20.22,37.51
CVS,35,12.32,9.11
DELL-HOME,37,326.1,408.25
DELL-SMALL-BUSINESS,14,352.78,211.79
DICKS-SPORTING-GOODS,203,161.56,194.77
DOLLAR-GENERAL,69,9.92,9.46
DUNHAMS-SPORTS,540,110.36,165.68
EBAY,28,184.13,205.36
EXPRESS,45,79.44,65.44
FAMILY-DOLLAR,51,5.58,4.77
FARM-AND-FLEET,113,30.63,42.77
FARM-HOME-SUPPLY,143,66.49,128.77
FIELD-STREAM,100,232.88,252.42
FIVE-BELOW,55,4.42,1.25
FREDMEYER,354,49.02,105.68
FREDS,66,20.92,27.99
FRYS-ELECTRONICS,200,230.02,432.23
GAMESTOP,254,41.38,69.23
GANDER-MOUNTAIN,306,170.43,248.68
GORDMANS,248,20.64,27.16
GUITAR-CENTER,47,106.57,170.36
HALF-PRICE-BOOKS,91,348.3,2185.78
HARBOR-FREIGHT,69,73.05,101.43
HEB,147,24.63,45.37
HHGREGG,216,527.18,591.19
HP,15,264.32,238.26
JCPENNEY,765,115.01,319.68
JOANN-FABRICS,28,62.74,85.23
KMART,435,39.58,63.55
KMART-THANKSGIVING,120,24.37,41.21
KOHLS,874,59.51,158.42
LA-Z-BOY,29,659.03,434.45
LENOVO,10,673.51,279.84
LIVING-SOCIAL,10,31.39,35.43
LOWES,378,295.84,498.32
MACYS,724,68.39,225.33
MC-SPORTS,340,121.74,138.93
MEIJER,230,37.92,75.78
MEIJER-THANKSGIVING,279,29.22,57.44
MENARDS,481,18.86,49.73
MICHAELS,65,31.95,45.29
MICRO-CENTER,187,81.95,126.89
MICROSOFT-STORE,51,288.59,364.06
MILLS-FLEET-FARM,353,47.16,71.5
MODELLS,63,27.62,36.08
MUSIC-AND-ARTS,1,9.99,
NAVY-EXCHANGE,147,102.76,165.54
NEWEGG,180,217.76,245.77
NIKON,27,1324.41,1308.02
NORTHERN-TOOL,183,95.51,204.03
NYANDCOMPANY,70,20.55,14.73
OCEAN-STATE-JOB-LOT,634,26.86,65.34
OFFICE-DEPOT,169,118.09,136.25
OLYMPIA-SPORTS,29,29.35,21.76
OVERSTOCK,77,134.76,147.73
PC-RICHARD-SON,180,541.95,594.06
PEPBOYS,23,28.37,22.24
PET-SMART,41,45.24,72.58
PET-SUPPLIES-PLUS,24,19.65,20.34
RADIOSHACK,202,52.31,45.5
RAKUTEN,9,97.65,55.02
RAYMOUR-FLANIGAN,54,626.52,430.89
RITE-AID,22,4.59,10.41
RURAL-KING,39,78.46,130.1
RURAL-KING-SATURDAY-SALE,247,48.59,76.1
RURAL-KING-THANKSGIVING,57,52.96,86.86
SAM-ASH,85,166.13,167.62
SAMS-CLUB,90,268.0,478.41
SAMSUNG,21,870.28,1039.18
SEARS,517,295.85,439.43
SEARS-HOMETOWN,264,334.41,398.33
SEARS-MATTRESS-2016,39,629.3,195.92
SEARS-OUTLET,83,64.43,127.94
SEPHORA,32,14.12,4.73
SHOE-CARNIVAL,63,29.39,11.88
SHOPKO,961,33.19,53.54
SIGMA-BEAUTY,7,41.28,14.47
SONY-STORE,12,488.32,373.33
SPORTSMANS-WAREHOUSE,140,143.33,183.85
STAGE,238,18.26,13.8
STAPLES,230,127.76,142.28
STEIN-MART,113,22.35,21.69
TARGET,392,58.16,90.66
THE-BODY-SHOP,4,22.5,11.9
TMOBILE,1,9.99,
TOYS-R-US,299,38.4,63.57
TRACTOR-SUPPLY,81,152.18,201.8
TRUE-VALUE,121,24.71,36.59
ULTA,67,15.34,13.08
US-CELLULAR,6,89.83,74.94
VALUE-CITY,25,739.63,482.03
VICTORIAS-SECRET,4,21.25,7.5
WALGREENS,100,20.03,60.77
WALGREENS-WEEKLY-CIRCULAR,226,11.95,14.23
WALMART,607,40.44,77.33
WEST-MARINE,37,232.07,366.41
WOODCRAFT,24,58.41,83.17
WORLD-MARKET,1,4.99,
