Year,Store,Category,SubCategory,Item,Price
2012,AAFES,Apparel,,Alpha Mens B-3 Sherpa Flight Jacket w/ Free History Book,349.0
2012,AAFES,Apparel,,Anne Klein Ladies Watch (Assorted Styles),39.99
2012,AAFES,Apparel,,Asics Mens Ready Set Long Sleeve Tees,12.99
2012,AAFES,Apparel,,Asics Mens Ready Set Short Sleeve Tees,9.99
2012,AAFES,Apparel,,BCBG Maya Wristlet (Black),14.95
2012,AAFES,Apparel,,BCBG Maya Wristlet (Silver),14.95
2012,AAFES,Apparel,,Clarks Mens Trulli Drive Moccasin,35.0
2012,AAFES,Apparel,,Coach Signature Lace-Up Footwear (Select Colors),49.99
2012,AAFES,Apparel,,Conair Ladies Messaging Slippers,12.99
2012,AAFES,Apparel,,Conair Mens Massaging Slippers,12.99
2012,AAFES,Apparel,,Criss Cross Wristlet (Assorted Colors),5.0
2012,AAFES,Apparel,,Decoded Juniors Scoop Tees (Assorted Colors),5.0
2012,AAFES,Apparel,,Decoded Juniors Tanks (Assorted Colors),5.0
2012,AAFES,Apparel,,Decoded Juniors V-Neck Tees (Assorted Colors),5.0
2012,AAFES,Apparel,,Drift Away Misses Long Wrap Robe (Assorted Colors),15.0
2012,AAFES,Apparel,,Drift Away Misses Micro Fleece Sleep Pant (Assorted Colors),7.0
2012,AAFES,Apparel,,Drift Away Misses Top and Pant Sleep Set (Assorted Colors),15.0
2012,AAFES,Apparel,,Fossil Womens Didi Boot,69.0
2012,AAFES,Apparel,,Giorgio Brutini Mens Fitted Dress Shirt & Tie Box Sets (Assorted Colors),19.0
2012,AAFES,Apparel,,Hanes Tights (Assorted Colors),5.0
2012,AAFES,Apparel,,IZOD Mens Woven Lounge Pants (Selected),8.5
2012,AAFES,Apparel,,Juniors Poof! Leggings,5.0
2012,AAFES,Apparel,,JW Misses Button Crew Neck Sweater (Assorted Colors),15.0
2012,AAFES,Apparel,,JW Misses Quilted Motorcycle Jacket,19.0
2012,AAFES,Apparel,,JW Misses Zip Front Peplum Jacket,19.0
