Store,Category,Item,Early Bird,Rebate,Price
AAFES-Saturday-Sale,Apparel >> Accessories,Body Glove Mens Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,Body Glove Womens Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,Field & Stream Men's Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,Field & Stream Women's Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,Foster Grants Mens Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,Foster Grants Womens Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,IronMan Mens Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Accessories,IronMan Womens Sunglasses,,,50% OFF
AAFES-Saturday-Sale,Apparel >> Jewelry,1/2-cttw. 10K Diamond Pendant,,,$349.00
AAFES-Saturday-Sale,Apparel >> Jewelry,1/5-cttw. 14K Sterling Silver Diamond Pendant,,,$129.00
AAFES-Saturday-Sale,Apparel >> Jewelry,1/6-cttw. 10K Diamond Ring,,,$199.00
AAFES-Saturday-Sale,Apparel >> Jewelry,1/8-cttw. 14K Diamond Sirena Pendant,,,$179.00
AAFES-Saturday-Sale,Apparel >> Jewelry,Cultured Freshwater Multicolor 3-pc. Pearl and Crystal Bracelet Set (Green Multi),,,$24.95
AAFES-Saturday-Sale,Apparel >> Jewelry,Cultured Freshwater Multicolor 3-pc. Pearl and Crystal Bracelet Set (Purple Multi),,,$24.95
AAFES-Saturday-Sale,Apparel >> Jewelry,Cultured Freshwater Multicolor 3-pc. Pearl and Crystal Bracelet Set (Black Multi),,,$24.95
AAFES-Saturday-Sale,Apparel >> Jewelry,Cultured Freshwater Multicolor 6-pc. Pearl Bracelet Set,,,$34.95
AAFES-Saturday-Sale,Apparel >> Jewelry,Cultured Freshwater Pearl Multicolor Dangle Earings 2-pr. (Black/Pink Multi),,,$34.95
AAFES-Saturday-Sale,Apparel >> Jewelry,Cultured Freshwater Pearl Multicolor Dangle Earrings 2-pr. (Blue/Green Multi),,,$34.95
AAFES-Saturday-Sale,Apparel >> Jewelry,CZ Sideways Rose-Gold Plated Sterling Silver Cross Pendant,,,$19.95
AAFES-Saturday-Sale,Apparel >> Jewelry,CZ Sideways Sterling Silver Cross Pendant,,,$19.95
AAFES-Saturday-Sale,Apparel >> Jewelry,Sterling Silver Diamond Ring (1/4-cttw.),,,$99.00
AAFES-Saturday-Sale,Apparel >> Jewelry,Sterling Silver London Blue Topaz Lady Kate Oval Pendant,,,$99.00
AAFES-Saturday-Sale,Apparel >> Jewelry,Sterling Silver London Blue Topaz Lady Kate Oval Ring,,,$99.00
AAFES-Saturday-Sale,Apparel >> Kids',Newborn/Infant/Toddler Boys Novelty Fleece,,,$5.00
AAFES-Saturday-Sale,Apparel >> Kids',Newborn/Infant/Toddler Boys Poly Fleece Play Set,,,$5.00
