store,count,mean,std
AAFES,293,88.7,166.99
AAFES-SATURDAY-SALE,138,80.22,141.69
AAFES-THANKSGIVING,53,164.5,230.74
ABT-ELECTRONICS,109,1141.7,4677.91
AC-MOORE,126,11.49,10.55
ACADEMY-SPORTS,367,72.68,111.69
ACE-HARDWARE,79,57.79,83.0
ACME-TOOLS,20,70.09,77.13
AMAZON,21,174.26,183.11
BADCOCK,256,648.78,372.06
BARNES-NOBLE,2,134.95,162.63
BASS-PRO-SHOPS,166,694.6,2881.37
BEALLS,253,24.67,17.28
BELK,738,52.69,103.55
BEST-BUY,340,186.3,321.08
BIG-5-SPORTING-GOODS,366,58.01,86.94
BIG-LOTS,141,101.02,141.93
BJS-WHOLESALE,126,178.21,300.52
BONTON,748,32.45,33.16
BOSCOVS,848,29.88,61.39
BURKES-OUTLET,11,27.81,15.44
CABELAS,160,209.55,280.96
CALLAWAY-APPAREL,6,18.99,1.55
CAMPMOR,92,49.44,49.52
CARTERS,4,6.5,1.73
CHRISTOPHER-AND-BANKS,2,19.0,0.0
COSTCO,43,683.29,1547.66
CRAFT-WAREHOUSE,95,12.38,27.87
CUBAVERA,6,17.99,0.0
CVS,47,7.83,9.97
DELL-HOME,25,357.15,331.65
DELL-SMALL-BUSINESS,30,409.33,234.19
DICKS-SPORTING-GOODS,229,527.48,5900.15
DISNEY-STORE,25,22.13,21.64
DOLLAR-GENERAL,69,9.5,9.87
DSW,20,55.5,35.62
DUNHAMS-SPORTS-THANKSGIVING,447,128.88,256.29
EBAY,15,378.46,344.72
EBAY-THANKSGIVING,12,199.24,204.82
FAMILY-DOLLAR,24,6.33,4.4
FARM-AND-FLEET,88,36.06,47.92
FARM-AND-FLEET-THANKSGIVING,296,53.71,87.55
FINISH-LINE-ONLINE,18,37.15,21.0
FIVE-BELOW,96,4.78,0.68
FREDMEYER,317,51.52,89.85
FREDS,67,19.32,21.64
FRYS-ELECTRONICS,456,145.6,250.45
GAMESTOP,326,40.32,54.27
GANDER-MOUNTAIN,333,159.91,258.22
GOLF-GALAXY,32,130.23,117.74
GORDMANS,232,22.27,30.36
GUITAR-CENTER,33,85.81,84.75
HALF-PRICE-BOOKS,66,73.65,377.71
HANCOCK-FABRICS,150,55.15,102.84
HARBOR-FREIGHT,41,68.2,100.03
HARMAN-KARDON,4,64.73,80.81
HASTINGS,222,29.61,44.67
HEB,138,31.74,56.53
HHGREGG,237,487.23,577.16
HOME-DEPOT,365,186.27,343.58
HP,26,452.76,352.49
JCPENNEY,908,75.85,217.7
JOANN-FABRICS,31,32.4,51.49
JOS-A-BANK,18,124.0,81.48
KINGSTON,20,67.24,101.72
KMART,527,43.88,69.17
KMART-THANKSGIVING,148,20.68,35.74
KOHLS,791,51.9,124.58
LIVING-SOCIAL,10,19.49,7.75
LIVING-SPACES,81,170.33,193.88
LOWES,373,355.82,634.53
MACMALL,617,642.9,1050.29
MACYS,769,172.62,427.34
MACYS-THANKSGIVING,305,426.43,505.06
MARINE-CORPS-EXCHANGE,263,135.54,227.0
MC-SPORTS,323,129.64,157.19
MEIJER,294,28.85,55.21
MEIJER-SATURDAY-SALE,65,34.07,64.73
MEIJER-THANKSGIVING,234,29.24,58.72
MENARDS,326,23.93,72.29
MICHAELS,64,29.32,47.83
MICRO-CENTER,335,206.95,256.93
MICROSOFT-STORE,26,177.14,165.72
MILLS-FLEET-FARM,367,40.29,73.6
MODELLS,65,100.51,151.89
MONOPRICE,35,240.24,268.43
