Year,Store,Category,SubCategory,Item,Price
2014,AAFES-SATURDAY-SALE,Televisions,LED,"Samsung 65"" 1080p 120Hz LED Smart TV (UN65H6203)",899.0
2014,AAFES-SATURDAY-SALE,Cameras,DSLR,Nikon D3200 HD-SLR 24.2MP Digital Camera w/ 18-55mm 55-200mm Non-VR Lens,499.95
2014,AAFES-SATURDAY-SALE,Televisions,LED,"Sony 70"" 1080p 120Hz 3D Smart LED TV (KDL70W850B)",1499.0
2014,AAFES-SATURDAY-SALE,Cameras,DSLR,Canon EOS Rebel SL1 18.0MP DSLR Camera Bundle,599.95
2014,AAFES-SATURDAY-SALE,Electronics,Tablets,"Craig 4GB HD Dual-Core 7"" Tablet Bundle (MP765BUN-OP1)",39.0
2014,AAFES-SATURDAY-SALE,Movies & TV,Blu-ray,AMC Walking Dead: Season 3 (Blu-Ray),22.95
2014,AAFES-SATURDAY-SALE,Cameras,Digital Cameras,Canon PowerShot SX520HS 16.0MP Digital Camera Kit,249.95
2014,AAFES-SATURDAY-SALE,Televisions,LED,"Samsung 55"" 1080p 120Hz Smart LED HDTV (UN55H6203)",599.0
2014,AAFES-SATURDAY-SALE,Cameras,Digital Cameras,Canon PowerShot ELPH140 16MP Digital Camera Bundle (Grey),79.95
2014,AAFES-SATURDAY-SALE,Movies & TV,Blu-ray,Spartacus: War Of The Damned (Blu-Ray),22.95
2014,AAFES-SATURDAY-SALE,Computers,Laptops,"Asus 10.1"" Convertible Notebook w/ Intel Quad-Core Baytrail, 2GB RAM, 32GB HDD",249.0
2014,AAFES-SATURDAY-SALE,Cameras,Accessories,Case Logic SLR Camera & Laptop Backpack,69.95
2014,AAFES-SATURDAY-SALE,Movies & TV,Blu-ray,Mr. Peabody & Sherman (Blu-Ray + DVD + Digital HD),22.95
2014,AAFES-SATURDAY-SALE,Televisions,LED,"Samsung 50"" 4K 120Hz Smart LED HDTV (UN50HU6950)",799.0
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Watch Dogs (PS4),44.95
2014,AAFES-SATURDAY-SALE,Video Games,Xbox One,Watch Dogs (XONE),44.95
2014,AAFES-SATURDAY-SALE,NO CATEGORY,,The Big Bang Theory: Season 7 (DVD),14.95
2014,AAFES-SATURDAY-SALE,Apparel,Men's,Nautica Mens 1/4 Zip Sueded Fleece Top (Assorted),24.99
2014,AAFES-SATURDAY-SALE,Electronics,Tablets,"Samsung Galaxy 4 16GB 10.1"" Tablet (White) (SM-T530NZWAXAR)",249.0
2014,AAFES-SATURDAY-SALE,Apparel,Men's,Straight Faded Mens Lightweight Hoodie (Assorted),9.99
2014,AAFES-SATURDAY-SALE,Cameras,Accessories,Canon Tamron AF 18-270mm Ultra Zoom Lens + $50 Coupon,349.99
2014,AAFES-SATURDAY-SALE,Movies & TV,Blu-ray,Warner Gravity 3D (Blu-Ray + DVD + Digital + UltraViolet),14.95
2014,AAFES-SATURDAY-SALE,Movies & TV,DVD,It's Always Sunny In Philadelphia: Season 9 (DVD),14.95
2014,AAFES-SATURDAY-SALE,Home Theatre,,Sony 5.1-Channel Home Theater System,199.99
2014,AAFES-SATURDAY-SALE,Home Theatre,Speakers,Bose Companion 2 Series III Multimedia Speaker,69.95
2014,AAFES-SATURDAY-SALE,Computer Accessories,Digital Media,SanDisk Micro SD 64GB Memory Card,29.95
2014,AAFES-SATURDAY-SALE,Toys,,Nerf N-Strike Elite Stryfe,9.95
2014,AAFES-SATURDAY-SALE,Movies & TV,Blu-ray,Maleficent (Blu-Ray + DVD + Digital HD) (Widescreen),14.95
2014,AAFES-SATURDAY-SALE,Apparel,Women's,Sharagano Misses Novelty Sweater (Assorted),15.0
2014,AAFES-SATURDAY-SALE,Apparel,Women's,Sharagano Color Block Pants (Assorted),15.0
2014,AAFES-SATURDAY-SALE,Apparel,Women's,Lucky Brand Charlie Skinny Jeans,35.0
2014,AAFES-SATURDAY-SALE,Movies & TV,Blu-ray,Rio 2 (Blu-Ray + DVD + Digital HD),14.95
2014,AAFES-SATURDAY-SALE,Apparel,Women's,Lucky Brand Charlie Baby Bootcut Jeans,35.0
2014,AAFES-SATURDAY-SALE,Toys,,Nerf N-Strike Elite Rough Cut,9.95
2014,AAFES-SATURDAY-SALE,Toys,,American Plastic Toys Tea Party Set,19.95
2014,AAFES-SATURDAY-SALE,Apparel,Watches,Armitron Mens Dress Watch (Assorted),24.99
2014,AAFES-SATURDAY-SALE,Cameras,Accessories,Nikon Tamron AF 18-270mm Ultra Zoom Lens + $50 Coupon,349.99
2014,AAFES-SATURDAY-SALE,Toys,,MGA Entertainment Cook 'n Grow With Me Kitchen,79.95
2014,AAFES-SATURDAY-SALE,Holiday Items,,Airblown 61-in. Snowman,29.99
2014,AAFES-SATURDAY-SALE,Holiday Items,,Pre-Lit Red Poinsettia Potted Tree,29.99
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,10K White Gold 1/2-ct. tw. Diamond Ring,299.0
2014,AAFES-SATURDAY-SALE,Movies & TV,DVD,Supernatural: Season 9 (DVD),14.95
2014,AAFES-SATURDAY-SALE,Holiday Items,,Heavy Duty Indoor & Outdoor Multicolor Lights (200-ct.),9.99
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,10K White Gold Diamond Accent Ring,249.0
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Killzone Shadow Fall (PS4),19.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sirena Forever 14K Gold 1/8-ct. tw. Diamond Pendant,179.0
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Four Star 11-pc. Cutlery Block Set,149.99
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Lego Marvel Superheros (PS4),19.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sterling Silver 1/2-ct. tw. Diamond Classic Bracelet,229.0
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,MLB 14: The Show (PS4),19.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,10K Gold 1/4-ct. tw. Diamond Swirl Ring,299.0
2014,AAFES-SATURDAY-SALE,Video Games,Playstation 3,Skyrim Legendary Edition (PS3),19.95
2014,AAFES-SATURDAY-SALE,Video Games,Playstation 3,Thief (PS3),19.95
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Thief (PS4),19.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Crock-Pot Cook & Carry 4-qt. Slow Cooker,19.99
2014,AAFES-SATURDAY-SALE,Video Games,Xbox 360,Thief (X360),19.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Created Blue Sapphire Oval Bracelet,89.0
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Created Blue Sapphire Oval Earrings,34.95
2014,AAFES-SATURDAY-SALE,Home Items,Kitchen,Aroma 6-Cup Rice Cooker & Steamer,9.99
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Created Blue Sapphire Oval Pendant,49.95
2014,AAFES-SATURDAY-SALE,Apparel,Jewelry,Sterling Silver Diamond Accent Pendant,39.0
2014,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Tomb Raider Definitive Edition (PS4),19.95
