Category,Count
Apparel,37348
Appliances,3565
Arts & Crafts,1247
Automobile,1029
Baby,256
Books,353
Camcorders,101
Cameras,1012
Cellphones,943
Computer Accessories,3308
Computer Components,1950
Computers,1167
Desktops,489
Digital Cameras,428
Electronics,7790
Food,1511
Holiday Items,3725
Home Items,20205
Home Theatre,1037
Kitchen,1734
Misc,154
Movies & TV,4902
Music,433
Musical Instruments,531
Office,722
Outdoor,1217
Patio & Garden,483
Personal Care,3491
Pet,1349
Promotional Items,151
Sporting Goods,10722
Televisions,2285
Tools,7165
Toys,9349
Travel,801
Video Games,5919
