Year,Store,Category,SubCategory,Item,Price
2017,AAFES,Apparel,Accessories,Coach Sunglasses (Select),32.99
2017,AAFES,Apparel,Accessories,Cubic Zirconia Sterling Silver Halo Stud Earring 3-pr. Set,14.95
2017,AAFES,Apparel,Accessories,Great American Leather Handbags (Select),39.99
2017,AAFES,Apparel,Accessories,Michael Kors Leather Tote,138.0
2017,AAFES,Apparel,Accessories,Michael Kors Signature Tote,93.0
2017,AAFES,Apparel,Accessories,Michael Kors Sunglasses (Select),32.99
2017,AAFES,Apparel,Accessories,Silver Tone Tassel Necklace,12.99
2017,AAFES,Apparel,Jewelry,1-cttw. 10K White Gold Diamond Fashion Ring (Size 7),599.0
2017,AAFES,Apparel,Jewelry,1-cttw. 14K White Gold Diamond Stud Earring,449.0
2017,AAFES,Apparel,Jewelry,1-cttw. Rose Gold Diamond Ring (Size 7),599.0
2017,AAFES,Apparel,Jewelry,1/2-cttw. 10K White Gold Diamond Fashion Earrings,399.0
2017,AAFES,Apparel,Jewelry,1/2-cttw. 14K Round Diamond Stud Earrings,269.0
2017,AAFES,Apparel,Jewelry,2-cttw. 10K White Gold Diamond Ring (Size 7),999.0
2017,AAFES,Apparel,Jewelry,2-cttw. 10K Yellow Gold Diamond Baguette & Round Bracelet,999.0
2017,AAFES,Apparel,Jewelry,3/8-cttw. 10K White Gold Diamond Fashion Pendant,299.0
2017,AAFES,Apparel,Jewelry,Alex & Ani Gold Snowflake Bracelet,23.99
2017,AAFES,Apparel,Jewelry,Alex & Ani Rataelian Silver Snowflake Bracelet,23.99
2017,AAFES,Apparel,Jewelry,Bolo Two-Tone Sterling Silver Bracelet & 2-pr. Earring Set,49.0
2017,AAFES,Apparel,Jewelry,Cross Pendant,29.0
2017,AAFES,Apparel,Jewelry,Evergold 14K Yellow Gold Over Diamond Resin Oval Hoop Earrings (2-pr.),69.0
2017,AAFES,Apparel,Jewelry,Freshwater Cultured 18-in. Pearl Necklace w/ Sterling Silver Clasp,39.0
2017,AAFES,Apparel,Jewelry,Gold Over Sterling Silver Amethyst Tennis Bracelet,79.0
2017,AAFES,Apparel,Jewelry,Gold Over Sterling Silver Blue Topaz Tennis Bracelet,79.0
2017,AAFES,Apparel,Jewelry,Gold Over Sterling Silver Garnet Tennis Bracelet,79.0
2017,AAFES,Apparel,Jewelry,Gunmetal Eagle Pendant,29.0
2017,AAFES,Apparel,Jewelry,Michael Kors Hamilton MK Logo Gold-Tone Bracelet,44.99
2017,AAFES,Apparel,Jewelry,Michael Kors Hamilton MK Logo Rose Gold-Tone Bracelet,44.99
2017,AAFES,Apparel,Jewelry,Stainless Steel Wing/Skull Pendant & Bracelet Set,49.0
2017,AAFES,Apparel,Jewelry,Swarovski Sterling Silver Crystal Charm Bracelet,64.99
2017,AAFES,Apparel,Men's,Adidas Mens Outdoor Nuvic Lightweight Jacket,69.0
2017,AAFES,Apparel,Men's,Columbia Mens Mountain Crest Fleece Jacket,29.0
2017,AAFES,Apparel,Men's,Geoffrey Beene Mens Lounge Pants,8.5
2017,AAFES,Apparel,Men's,Hanes Boxers,11.99
2017,AAFES,Apparel,Men's,Kuhl Mens 1/4-Zip Top,39.0
2017,AAFES,Apparel,Men's,Levi's Mens Thermal Hoodies,15.0
2017,AAFES,Apparel,Men's,Nick Graham Mens Dress Shirt,14.99
2017,AAFES,Apparel,Men's,Nike Mens Fleece Bottom,35.0
2017,AAFES,Apparel,Men's,Nike Mens Fleece Top,35.0
2017,AAFES,Apparel,Men's,Perry Ellis Mens Robes,17.0
2017,AAFES,Apparel,Men's,Spyder Mens Central Full Zip Jacket,39.0
2017,AAFES,Apparel,Men's,The North Face Mens Timber Jacket Smooth-Face Fleece,49.0
2017,AAFES,Apparel,Men's,Under Armour Mens Heartgear Socks,9.99
2017,AAFES,Apparel,Men's,Under Armour Original 6-in. Boxerjack,9.99
2017,AAFES,Apparel,Shoes,Lamo Girls Booties,20.0
2017,AAFES,Apparel,Shoes,Lamo Toddler Booties,20.0
2017,AAFES,Apparel,Shoes,Rock And Candy Womens Black Tavin Corner Cuff Bootie,29.0
2017,AAFES,Apparel,Shoes,Rock And Candy Womens Brown Tavin Corner Cuff Bootie,29.0
2017,AAFES,Apparel,Shoes,Sherpa Sock Slipper,6.0
2017,AAFES,Apparel,Shoes,Ugg Mini Bailey Button II Womens Black Short Boots,89.0
2017,AAFES,Apparel,Shoes,Ugg Mini Bailey Button II Womens Chestnut Short Boots,89.0
2017,AAFES,Apparel,Watches,Anne Klein Womens Ceramic Watch,49.0
2017,AAFES,Apparel,Watches,Anne Klein Womens Ceramic Watch,49.0
2017,AAFES,Apparel,Watches,Anne Klein womens Ceramic Watch,49.0
2017,AAFES,Apparel,Watches,Anne Klein womens Ceramic Watch,49.0
2017,AAFES,Apparel,Watches,Fossil Mens Black Watch,69.0
2017,AAFES,Apparel,Watches,Fossil Mens Watch,69.0
2017,AAFES,Apparel,Watches,Fossil Womens Stella Stainless Steel Rose Goldtone Bracelet Watch,69.0
2017,AAFES,Apparel,Watches,Fossil Womens Stella Stainless Steel Silver Bracelet Watch,69.0
2017,AAFES,Apparel,Women's,Calvin Klein Classic Fit Career Pants (4-16),29.0
2017,AAFES,Apparel,Women's,Calvin Klein Denim Jeans,29.0
2017,AAFES,Apparel,Women's,Calvin Klein Ribbed Turtleneck Sweaters (S-XL),25.0
2017,AAFES,Apparel,Women's,Calvin Klein Sleeveless Knit Top (S-XL),19.0
2017,AAFES,Apparel,Women's,Columbia Womens Benton Springs Full Zip Fleece,25.0
2017,AAFES,Apparel,Women's,JW Misses Leggings (S-XL),9.0
2017,AAFES,Apparel,Women's,JW Misses Tops (S-XL),9.0
2017,AAFES,Apparel,Women's,Kuhl Womens Alska Hoodie,45.0
2017,AAFES,Apparel,Women's,Kuhl Womens Kozet Vest,45.0
2017,AAFES,Apparel,Women's,Levi's Denim Jeans,29.0
2017,AAFES,Apparel,Women's,Lucky Brand Denim Jeans,39.0
2017,AAFES,Apparel,Women's,Lucky Brand Graphic Tees (S-XL),19.0
2017,AAFES,Apparel,Women's,Lucky Brand Thermal Top (XS-XL),19.0
2017,AAFES,Apparel,Women's,Michael Kors Denim Jeans,29.0
2017,AAFES,Apparel,Women's,Michael Kors Hi-Lo Side Zip Sweater (S-XL),29.0
2017,AAFES,Apparel,Women's,Michael Kors Knit Peasant Top (S-XL),19.0
2017,AAFES,Apparel,Women's,Michael Kors Pants (S-XL),29.0
2017,AAFES,Apparel,Women's,Michael Kors Puffer Vest,49.0
2017,AAFES,Apparel,Women's,Michael Kors Sweater Dress,59.0
2017,AAFES,Apparel,Women's,Nike Womens Fleece Bottom,35.0
2017,AAFES,Apparel,Women's,Nike Womens Fleece Top,35.0
2017,AAFES,Apparel,Women's,Passports Misses Leggings (S-XL),9.0
2017,AAFES,Apparel,Women's,Passports Misses Tops (S-XL),9.0
2017,AAFES,Apparel,Women's,Sleep Zenista 3-pc. Pajama Set,12.49
2017,AAFES,Apparel,Women's,The North Face Womens Half Dome Pullover Hoodie,25.0
2017,AAFES,Apparel,Women's,The North Face Womens Harway Quilted Heatseeker Jacket,69.0
2017,AAFES,Apparel,Women's,The North Face Womens Timber Full Zip Fleece,49.0
2017,AAFES,Apparel,Women's,Vince Camuto Misses Blouse (S-XL),29.0
2017,AAFES,Apparel,Women's,Vince Camuto Two Misses Leggings (S-XL & PXS-PL),19.0
2017,AAFES,Apparel,Women's,Vince Camuto Two Misses Pants (S-XL & PXS-PL),19.0
2017,AAFES,Apparel,Women's,Vince Camuto Two Misses Sweater,35.0
2017,AAFES,Apparel,Women's,Woolrich Buffalo Print Glacier View Fleece Vest,39.0
2017,AAFES,Apparel,,Bell Super Soft Cabin Socks w/ Grippers,4.0
2017,AAFES,Apparel,,Lounge Pants,7.49
2017,AAFES,Apparel,,Shawl Collar Robe,12.49
2017,AAFES,Apparel,,Toms Mens Gray Slipper,29.0
2017,AAFES,Appliances,Dryers,Kenmore 7.0-ct. ft. Electric Dyer,399.0
2017,AAFES,Appliances,Dryers,Samsung 7.5-cu. ft. Electric Front Load Dryer,559.0
2017,AAFES,Appliances,Refrigerators,Kenmore 25.6-cu. ft. French Door Stainless Steel Refrigerator w/ Bottom Freezer,999.0
