Year,Store,Category,SubCategory,Item,Price
2015,AAFES-SATURDAY-SALE,Televisions,LED,"Samsung 55"" 4K 120Hz LED Smart HDTV (UN55JU6400)",599.0
2015,AAFES-SATURDAY-SALE,Televisions,LED,"Samsung 32"" 1080p 60Hz LED Smart HDTV (UN32J5205)",199.0
2015,AAFES-SATURDAY-SALE,Home Theatre,Home Theatre Systems,Samsung Blu-ray 500W Home Theatre-in-a-Box,129.99
2015,AAFES-SATURDAY-SALE,Televisions,LED,"Samsung 60"" 1080p 120Hz LED Smart TV (UN60J6200)",649.0
2015,AAFES-SATURDAY-SALE,Electronics,,Gigastone Power Bank Mobile Charger,11.99
2015,AAFES-SATURDAY-SALE,Cameras,DSLR,Nikon DSLR Camera Kit + Free Tripod,499.95
2015,AAFES-SATURDAY-SALE,Electronics,Accessories,Otter Defender Case for iPad Minis (Black),37.99
2015,AAFES-SATURDAY-SALE,Electronics,Accessories,Otter Defender Case for iPad Air,43.99
2015,AAFES-SATURDAY-SALE,Electronics,Accessories,Otter Defender Case for iPad Air 2,48.99
2015,AAFES-SATURDAY-SALE,Computers,Laptops,"HP 15.6"" Touchscreen Laptop w/ Intel Core i3, 6GB RAM, 1TB HDD and Win 10",399.99
2015,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,PlayStation 4 Uncharted: The Nathan Drake Collection Bundle,299.95
2015,AAFES-SATURDAY-SALE,Apparel,Accessories,Oakley Fuel Cell Polarized Sunglasses,39.99
2015,AAFES-SATURDAY-SALE,Electronics,Tablets,"Samsung Galaxy Tab 4 7"" 8GB Tablet (White)",119.0
2015,AAFES-SATURDAY-SALE,Electronics,Tablets,"Samsung Galaxy Tab 4 7"" 8GB Tablet (Black)",119.0
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,Mr. Coffee 4-Cup Switch Coffee Maker,9.99
2015,AAFES-SATURDAY-SALE,Cameras,DSLR,Canon EOS Rebel DSLR Camera & Lens Kit Bundle,549.95
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,Presto 11-in. Electric Skillet,9.99
2015,AAFES-SATURDAY-SALE,Electronics,,Dromida Ominus Quadcopter (Assorted Colors) + $30.00 Exchange Gift Card,99.95
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,Proctor Silex 4-Slice Toaster Oven,14.99
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,Hamilton Beach 12-Cup Digital Coffee Maker,14.99
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,George Foreman 2-Serving Class Grill,14.99
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,Black & Decker 12-Cup Rice Cooker,19.99
2015,AAFES-SATURDAY-SALE,Video Games,PlayStation 4,Mad Max (PS4),19.95
2015,AAFES-SATURDAY-SALE,Home Items,Kitchen,Hamilton Beach 5-qt. Programmable Slow Cooker,19.99
2015,AAFES-SATURDAY-SALE,Video Games,Xbox One,Mad Max (XONE),19.95
